iteration: ,100000,,,,,,,,,,
alpha: ,0.1,,,,,,,,,,
gamma: ,1,,,,,,,,,,
epsilon: ,1.428571429,,,,,,,,,,
games:  ,300000,,,,,,,,,,
,,,,,,,,,,,
Iterations, Win rate, Loss Rate ,,,,,,,,,
100000,0.365273333,0.556163333,,,,,,,,,
,,,,,,,,,,,
Hard,,,,,,,,,,,
13,"	H", H, H, H, S, H, D, H, H, H, 
14,"	H", H, H, H, H, H, H, H, H, H, 
15,"	D", H, H, H, H, H, H, H, H, H, 
16,"	H", H, H, H, H, H, H, H, H, D, 
17,"	H", S, H, H, D, H, H, H, H, H, 
18,"	H", S, S, D, D, S, S, H, H, H, 
19,"	H", D, D, H, S, S, H, H, H, H, 
20,"	S", S, D, D, S, H, S, H, D, H, 
21,"	H", H, H, S, S, D, S, S, S, S, 
,,,,,,,,,,,
iteration: ,5000000,,,,,,,,,,
alpha: ,0.1,,,,,,,,,,
gamma: ,1,,,,,,,,,,
epsilon: ,1,,,,,,,,,,
games:  ,300000,,,,,,,,,,
,,,,,,,,,,,
Iterations, Win rate, Loss Rate ,,,,,,,,,
5000000,0.35803,0.564356667,,,,,,,,,
,,,,,,,,,,,
Hard,,,,,,,,,,,
,2,3,4,5,6,7,8,9, T, A,
2,"	H", H, H, H, H, H, H, H, H, H, 
3,"	H", H, H, H, H, H, H, H, H, H, 
4,"	H", H, D, H, H, H, H, H, H, H, 
5,"	H", H, H, H, H, H, H, H, H, H, 
6,"	H", H, H, H, D, H, H, H, H, H, 
7,"	H", H, H, H, H, H, H, H, H, H, 
8,"	H", H, H, H, H, H, H, H, H, H, 
9,"	H", H, H, D, H, H, H, H, H, H, 
10,"	H", H, H, H, H, H, H, H, H, H, 
11,"	H", H, H, H, D, H, H, H, H, H, 
12,"	H", H, H, H, H, H, H, H, H, H, 
13,"	H", H, H, H, H, H, H, H, H, H, 
14,"	H", D, H, H, H, H, H, H, H, H, 
15,"	H", H, H, D, H, H, H, H, H, H, 
16,"	H", H, D, H, H, H, H, H, H, H, 
17,"	H", H, H, H, H, H, H, H, H, H, 
18,"	S", S, H, S, S, S, S, H, H, H, 
19,"	S", S, S, S, S, S, S, S, H, H, 
20,"	S", S, S, S, S, S, S, S, S, S, 
21,"	S", S, S, S, S, S, S, S, S, S, 
Soft,,,,,,,,,,,
,2,3,4,5,6,7,8,9, T, A,
13,"	H", H, H, H, H, H, H, H, H, H, 
14,"	H", H, H, D, H, H, H, H, H, H, 
15,"	H", H, D, H, H, D, H, H, H, H, 
16,"	H", H, H, H, H, H, H, H, H, H, 
17,"	H", H, H, H, H, H, D, H, H, H, 
18,"	H", H, S, H, D, H, H, H, H, H, 
19,"	H", S, S, S, D, D, S, S, H, H, 
20,"	S", H, D, H, S, S, D, H, D, H, 
21,"	D", H, S, S, D, H, S, S, S, S, 
,,,,,,,,,,,
iteration: ,5000000,,,,,,,,,,
alpha: ,0.4,,,,,,,,,,
gamma: ,1,,,,,,,,,,
epsilon: ,1,,,,,,,,,,
games:  ,300000,,,,,,,,,,
,,,,,,,,,,,
Iterations, Win rate, Loss Rate ,,,,,,,,,
5000000,0.374446667,0.54314,,,,,,,,,
,,,,,,,,,,,
Hard,,,,,,,,,,,
,2,3,4,5,6,7,8,9, T, A,
2,"	H", H, H, H, H, H, H, H, H, H, 
3,"	H", H, H, H, H, H, H, H, H, H, 
4,"	D", D, H, D, D, D, H, D, D, H, 
5,"	H", H, H, D, D, H, D, H, H, D, 
6,"	H", D, D, H, D, H, H, H, D, H, 
7,"	H", H, D, H, H, D, H, H, H, D, 
8,"	D", H, D, H, H, H, D, D, H, D, 
9,"	D", D, D, D, D, H, D, H, H, D, 
10,"	D", D, D, D, D, D, H, H, D, H, 
11,"	H", D, H, H, H, D, D, D, H, H, 
12,"	H", H, H, H, H, D, D, H, H, D, 
13,"	D", H, H, H, H, D, H, H, H, H, 
14,"	H", H, D, H, H, D, D, H, H, H, 
15,"	H", H, H, H, H, H, H, H, H, H, 
16,"	H", H, H, H, H, H, H, H, H, H, 
17,"	H", H, H, H, S, H, H, H, H, H, 
18,"	S", S, S, S, S, S, S, H, H, H, 
19,"	S", S, S, S, S, S, S, S, H, H, 
20,"	S", S, S, S, S, S, S, S, S, S, 
21,"	S", S, S, S, S, S, S, S, S, S, 
Soft,,,,,,,,,,,
,2,3,4,5,6,7,8,9, T, A,
13,"	H", D, D, D, H, D, D, H, H, D, 
14,"	H", H, H, D, H, D, D, D, H, H, 
15,"	D", D, H, H, H, D, D, H, D, H, 
